Scenario,Average,CI-L,CI-H
100,35.638930183,34.4826594275,36.7952009385
101,31.0332929872,29.9628927146,32.1036932598
102,13.9429690427,13.1700717601,14.7158663252
103,35.7792876482,34.7155527484,36.843022548
104,32.1378394914,31.0530081047,33.2226708782
105,10.0576361871,9.43476750888,10.6805048654
106,36.2522726359,35.0576352402,37.4469100316
107,32.44738209,31.4143438963,33.4804202836
108,7.18018280891,6.90773264882,7.452632969
109,29.5246615134,28.4803086721,30.5690143547
110,37.3988078933,36.3223770602,38.4752387264
111,14.9328737705,14.0257825816,15.8399649593
112,29.2254225536,28.124693048,30.3261520593
113,36.3668425743,35.0766290618,37.6570560867
114,13.1653719883,12.2853352636,14.045408713
115,27.7540398646,26.7708169336,28.7372627955
116,35.3758484063,34.1864972339,36.5651995786
117,12.8531789829,11.9621818591,13.7441761066
118,21.6559860533,20.9745645272,22.3374075794
119,29.2416507974,28.147228584,30.3360730109
120,25.9736070917,25.1172312512,26.8299829321
121,21.5268453993,20.785890789,22.2678000095
122,28.3249886242,27.2255759494,29.424401299
123,28.8211929599,27.8534707696,29.7889151502
124,20.9946605844,20.2323957439,21.7569254249
125,27.7702801477,26.6367081067,28.9038521888
126,33.0396343063,32.3799886142,33.6992799985
127,26.1811013848,25.1179784762,27.2442242935
128,25.3330061278,24.3214774341,26.3445348215
129,26.2065790921,25.1301987154,27.2829594687
130,17.1790262136,16.1176899598,18.2403624674
131,17.2968114994,16.3701173347,18.2235056641
132,16.3081677398,15.2917439133,17.3245915663
133,6.98198814643,6.73441896979,7.22955732307
134,6.98198814643,6.73441896979,7.22955732307
135,6.98198814643,6.73441896979,7.22955732307
136,29.3586930737,28.2553584214,30.4620277259
137,25.0859403226,24.04907445,26.1228061952
138,25.1874867662,24.1972190901,26.1777544422
139,26.5640172647,25.4372867667,27.6907477626
140,19.781583813,18.7785108302,20.7846567959
141,15.4039710979,14.4699877006,16.3379544952
142,27.0967091552,26.2030227213,27.9903955892
143,16.2806913256,15.3495491721,17.2118334791
144,7.02344113788,6.77268021778,7.27420205799
145,35.8324917336,34.7910531213,36.8739303459
146,30.867914856,29.6292342836,32.1065954285
147,22.6445548085,21.5979741544,23.6911354627
148,36.56998214,35.4482612784,37.6917030016
149,31.6001915683,30.4259705778,32.7744125588
150,14.1606428837,13.2625398615,15.0587459059
151,36.8016281975,35.6313588325,37.9718975626
152,33.7474161794,32.5544055301,34.9404268287
153,7.66743265534,7.36036097803,7.97450433264
154,31.3677280845,30.2515419353,32.4839142338
155,37.3238448077,36.3225800414,38.3251095741
156,22.233333959,21.1035693909,23.3630985271
157,29.5302108881,28.4406849452,30.6197368311
158,37.4050621876,36.4383837933,38.3717405819
159,15.7908688637,14.8022489123,16.7794888151
160,27.9515064956,26.8304524622,29.072560529
161,35.6167272427,34.5175746448,36.7158798407
162,13.6239315671,12.6024604423,14.6454026918
163,22.7864917071,22.085175149,23.4878082651
164,30.9964385442,29.9800145299,32.0128625585
165,26.1365094533,25.1443804865,27.12863842
166,21.6422343754,20.9091297563,22.3753389944
167,29.3605092182,28.274699321,30.4463191153
168,27.4154688721,26.433406265,28.3975314791
169,20.9946605844,20.2323957439,21.7569254249
170,27.0529094146,25.9271872239,28.1786316053
171,34.1687768753,33.4735366431,34.8640171075
172,33.9128914219,32.7593884305,35.0663944133
173,33.9128914219,32.7593884305,35.0663944133
174,33.9128914219,32.7593884305,35.0663944133
175,25.6680521239,24.5181005732,26.8180036746
176,25.3128180291,24.241249423,26.3843866352
177,25.9621044828,24.8329400349,27.0912689308
178,6.98198814643,6.73441896979,7.22955732307
179,6.98198814643,6.73441896979,7.22955732307
180,6.98198814643,6.73441896979,7.22955732307
181,32.8872596675,31.6755068647,34.0990124703
182,32.7492619578,31.6393816168,33.8591422989
183,33.6087330027,32.60296939,34.6144966153
184,29.1991155704,28.1395375746,30.2586935662
185,25.7620663171,24.5269522734,26.9971803607
186,25.2274181702,24.034517134,26.4203192064
187,27.9707762458,26.9883102056,28.9532422861
188,18.8814776959,17.9062322967,19.8567230951
189,7.15455224899,6.86147968735,7.44762481063
190,35.7224788979,34.5981606682,36.8467971277
191,34.0780051039,32.977672587,35.1783376209
192,32.4673599261,31.4854111715,33.4493086808
193,35.8731993266,34.8328977304,36.9135009227
194,32.0916785733,30.9251618861,33.2581952605
195,22.4849114774,21.4394129904,23.5304099645
196,36.4696574182,35.3171194224,37.6221954139
197,34.3076277122,33.1066804882,35.5085749362
198,8.77769240249,8.34590890657,9.20947589841
199,33.3317658446,32.1934403772,34.470091312
200,36.8579403188,35.8313456057,37.884535032
201,31.6468762466,30.7029267188,32.5908257744
202,31.6727750286,30.5743957164,32.7711543409
203,37.1765461402,36.2294929589,38.1235993214
204,22.1229818215,20.8965741133,23.3493895297
205,27.741461182,26.670192024,28.81273034
206,35.5022956719,34.3596208939,36.6449704499
207,16.5817615218,15.7103452426,17.453177801
208,24.4309178744,23.8921809471,24.9696548017
209,33.1950276052,32.0417131295,34.348342081
210,32.0366886219,31.3858161471,32.6875610967
211,22.5819775101,21.8940401158,23.2699149044
212,30.3592375378,29.1934253166,31.5250497591
213,27.8700101624,26.6257709951,29.1142493296
214,20.9946605844,20.2323957439,21.7569254249
215,27.4837496872,26.3005400356,28.6669593388
216,35.9348724774,35.1192456111,36.7504993438
